date, stride length, vertical oscillation, gct, score
1.20.2026, 1.34, 10.5, 257, 0
1.21.2026, 1.37, 10.4, 250, 1
1.22.2026, 1.34, 10.5, 261, 0
1.23.2026, 1.28, 10.3, 264, 0
1.25.2026, 1.35, 10.2, 246, 1
1.27.2026, 1.47, 10.4, 235, 1
1.28.2026, 1.32, 10.5, 264, 0
1.29.2026, 1.39, 10.4, 245, 1
2.2.2026, 1.33, 9.7, 255, 0
2.3.2026, 1.37, 10.5, 253, 0
2.4.2026, 1.29, 10.5, 266, 1
2.5.2026, 1.46, 10.2, 243, 1
2.8.2026, 1.30, 10.1, 252, 0
2.9.2026, 1.51, 10.4, 236, 0
2.10.2026, 1.41, 10.5, 244, 0
2.11.2026, 1.34, 10.6, 263, 0
2.12.2026, 1.33, 10.3, 260, 0
2.14.2026, 1.40, 10.0, 237, 1
2.16.2026, 1.40, 10.4, 243, 1
2.17.2026, 1.41, 10.4, 244, 1
2.18.2026, 1.47, 10.4, 239, 1
2.20.2026, 1.41, 10.3, 240, 1
2.22.2026, 1.50, 10.0, 227, 1
2.23.2026, 1.42, 9.9, 231, 0
2.24.2026, 1.42, 10.1, 234, 0
2.25.2026, 1.44, 10.4, 249, 0
2.27.2026, 1.44, 10.4, 241, 0
3.1.2026, 1.50, 10.2, 232, 0
3.2.2026, 1.43, 10.4, 240, 0
3.4.2026, 1.47, 10.3, 249, 1
3.5.2026, 1.44, 10.7, 246, 0
3.6.2026, 1.43, 10.6, 244, 0
3.7.2026, 1.47, 10.2, 230, 1
3.9.2026, 1.43, 10.8, 251, 1
3.10.2026, 1.39, 10.5, 248, 1
3.11.2026, 1.38, 10.4, 247, 1
